"docUuid","visitors","desktop_search_R","desktop_search_V","desktop_search_S3"
"3329e1c2-30f8-11e8-9ae4-ec97670cc1e3","3682",0,0,0
"0e3b9ca8-9ef7-11e8-9137-eb1702e95e35","3680",60,70,66
"545ac28c-8c04-11e8-8f45-e0e8393def43","3600",0,0,0
"a32029c6-89a1-11e8-a1c4-5683a7fcb7dc","3514",5,7,6
"6586e2d8-a14f-11e8-afd8-8f4a631f500f","3451",8,20,10
"e129338e-963f-11e8-a542-2078d824af27","3415",12,12,12
"d95fc914-170b-11e8-b027-36686c0143b9","3409",177,295,149
"163999e2-9af0-11e8-87aa-1e0e02e95e35","3402",17,25,17
"a1ef9464-9a46-11e8-8b2a-1e0e02e95e35","3399",6,9,7
"4f70ab5a-9a33-11e8-a608-f017b12b5a53","3373",20,29,20
"fcf7151c-94ce-11e8-9aff-fc60c095174f","3358",13,21,14
"a5dc0066-a154-11e8-84d8-8f4a631f500f","3358",146,171,161
"fb4e9adc-958c-11e8-89f9-fc60c095174f","3354",16,25,17
"c5eb79ce-a085-11e8-a080-41d95f45639c","3319",6,8,6
